CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment
6001,California,Alameda,1584983,776699,808284,22.6,33.0,11.3,0.3,27.5,0.8,1025865,75619.0,613.0,37285,279,12.5,15.2,778132,8.3
6003,California,Alpine,1131,654,477,9.5,64.1,1.0,19.4,1.2,1.4,865,52917.0,13603.0,21415,3057,17.5,8.5,408,10.7
6005,California,Amador,36995,20012,16983,12.9,79.7,2.2,1.8,1.4,0.1,30376,54171.0,4208.0,27473,2016,12.8,22.5,12573,14.0
6007,California,Butte,222564,110115,112449,15.2,73.8,1.4,0.7,4.3,0.2,169724,43444.0,1068.0,24259,637,21.9,23.9,89411,12.1
6009,California,Calaveras,44767,22143,22624,11.1,82.5,0.6,0.9,0.9,0.3,35415,53233.0,3774.0,29553,1398,12.6,13.3,16248,12.1
6011,California,Colusa,21396,11129,10267,57.4,37.5,0.6,1.0,2.0,0.2,12114,52168.0,2583.0,21897,1712,15.0,22.2,8837,10.4
6013,California,Contra Costa,1096068,534618,561450,24.9,46.0,8.6,0.3,15.1,0.5,720881,80185.0,827.0,39313,398,10.9,14.0,509920,8.8
6015,California,Del Norte,27788,15418,12370,19.1,63.3,2.8,4.8,2.1,0.3,21078,40847.0,4369.0,19560,1382,21.8,29.0,8612,11.5
6017,California,El Dorado,182093,90970,91123,12.5,79.0,0.9,0.6,3.9,0.1,135584,69584.0,1835.0,35588,844,10.4,13.3,79568,11.1
6019,California,Fresno,956749,477316,479433,51.6,31.2,4.7,0.5,9.6,0.1,559092,45233.0,692.0,20408,258,26.8,38.2,374564,13.2
6021,California,Glenn,28029,14168,13861,39.6,53.7,0.9,1.7,2.5,0.3,17146,39349.0,4204.0,21313,1880,20.8,27.3,10523,12.6
6023,California,Humboldt,135034,67533,67501,10.6,75.7,1.1,4.6,2.6,0.3,104456,42197.0,1183.0,23367,628,21.4,23.7,58449,10.5
6025,California,Imperial,178206,91167,87039,81.8,12.6,2.5,0.7,1.4,0.1,98226,41079.0,1556.0,16143,463,24.0,31.0,58391,17.4
6027,California,Inyo,18373,9214,9159,20.6,64.8,1.0,10.2,1.3,0.6,13642,45955.0,2280.0,27850,1226,11.4,14.1,8370,6.8
6029,California,Kern,865736,444547,421189,51.0,36.6,5.3,0.6,4.4,0.1,499713,49026.0,865.0,20644,228,23.5,33.0,327294,12.7
6031,California,Kings,150998,83958,67040,52.6,34.1,5.9,0.7,3.5,0.2,92064,46481.0,1200.0,18707,588,22.6,32.1,50960,13.0
6033,California,Lake,64158,32146,32012,18.5,72.6,2.1,3.0,1.3,0.3,48212,35578.0,2034.0,21407,906,24.7,32.8,23011,14.6
6035,California,Lassen,32645,21818,10827,18.3,65.9,8.4,2.8,1.4,0.7,26125,51555.0,2789.0,19274,1210,16.4,23.6,9082,10.9
6037,California,Los Angeles,10038388,4945351,5093037,48.2,26.9,8.0,0.2,14.0,0.2,6046749,56196.0,270.0,28337,113,18.2,25.8,4635465,10.0
6039,California,Madera,153187,73863,79324,55.6,36.3,3.2,1.1,2.0,0.1,87708,45073.0,1837.0,17970,543,23.5,33.6,53032,7.5
6041,California,Marin,258349,126460,131889,15.8,72.0,2.4,0.2,5.6,0.2,181699,93257.0,2610.0,60236,1481,8.3,10.3,129027,5.7
6043,California,Mariposa,17789,8931,8858,10.1,81.7,1.1,2.3,1.3,0.1,14196,47681.0,4294.0,28316,2011,15.1,19.6,7329,11.6
6045,California,Mendocino,87544,43827,43717,23.6,66.7,0.6,3.4,1.9,0.2,61868,42980.0,1757.0,24059,1011,20.4,28.1,36848,12.2
6047,California,Merced,263885,133152,130733,56.9,29.9,3.2,0.2,7.4,0.2,144588,42462.0,1214.0,18204,435,26.1,37.7,96170,16.2
6049,California,Modoc,9184,4664,4520,14.6,77.8,0.5,3.5,0.9,0.0,6860,37860.0,4210.0,21001,1668,18.8,18.6,3334,8.6
6051,California,Mono,14146,7311,6835,27.3,66.5,0.4,1.6,1.1,0.0,9474,56944.0,10734.0,29437,2465,4.9,5.8,7061,13.4
6053,California,Monterey,428441,219299,209142,56.9,31.5,2.6,0.3,5.9,0.5,229007,58783.0,1121.0,24994,640,17.0,25.1,177333,8.4
6055,California,Napa,140295,69798,70497,33.3,54.2,2.0,0.2,7.6,0.2,91161,71379.0,2063.0,36475,1110,10.3,13.3,68587,7.5
6057,California,Nevada,98570,48668,49902,9.0,85.7,0.5,0.9,1.4,0.1,77833,56521.0,2539.0,32442,1105,12.7,17.1,41473,9.8
6059,California,Orange,3116069,1539600,1576469,34.2,42.4,1.5,0.2,18.8,0.3,1961585,76509.0,426.0,34817,229,12.8,17.6,1508753,7.6
6061,California,Placer,366280,178729,187551,13.4,74.5,1.4,0.4,6.5,0.1,266102,73948.0,1220.0,36022,564,8.9,10.5,162616,8.3
